Title,Speakers,Talk URL,Talk Thumbnail URL
Attitude and business success,['Jose Thomas'],http://www.inktalks.com/discover/790/jose-thomas-attitude-and-business-success,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKasia2015_Jose_Thomas.jpg
Our brains on meditation,['Rohan Dixit'],http://www.inktalks.com/discover/788/rohan-dixit-our-brains-on-meditation,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKasia2015_Rohan_Dixit.jpg
Big data revolution ,['Piyush Gupta'],http://www.inktalks.com/discover/787/piyush-gupta-big-data-revolution,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKasia2015_Piyush_Gupta.jpg
Losing sight not vision | Hindi,['Bhavesh Bhatia'],http://www.inktalks.com/discover/786/bhavesh-bhatia-losing-sight-not-vision,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Bhavesh_Bhatia.jpg
Diversity – a garden or a forest? ,['Devdutt Pattanaik'],http://www.inktalks.com/discover/785/devdutt-pattanaik-diversity-a-garden-or-a-forest,https://s3.amazonaws.com/VideoThumbnails/INKasia2015talks/INKasia2015_Devdutt_Pattanaik.jpg
Women scientists you've never heard of,['Shohini Ghose'],http://www.inktalks.com/discover/784/women-scientists-you-ve-never-heard-of,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Shohini_Ghose.jpg
My daughter Aisha Chaudhary's legacy,['Aditi Chaudhary'],http://www.inktalks.com/discover/783/aditi-chaudhary-my-daughter-aisha-chaudhary-s-legacy,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INKwomen2015_Aditi_Chaudhary.jpg
How millennials perceive time,['Abhijit Bhaduri'],http://www.inktalks.com/discover/761/abhijit-bhaduri-how-millennials-perceive-time,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Abhijit_Bhaduri.jpg
Understanding Tagore,"['Monali Thakur', 'Shantanu Moitra']",http://www.inktalks.com/discover/759/shantanu-moitra-monali-thakur-understanding-tagore,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Shantanu_Moitra_Monali_Thankur.jpg
Making of Satyamev Jayate ,"['Svati Chakravarty Bhatkal', 'Satyajit Bhatkal']",http://www.inktalks.com/discover/758/satyajit-and-svati-bhatkal-making-of-satyamev-jayate,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Satyajit_Bhatkal_Svati_Bhatkal.jpg
"Hyperrealistic mannequins, Made in India",['Rajiv Subba'],http://www.inktalks.com/discover/757/rajiv-subba-hyperrealistic-mannequins-made-in-india,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Rajiv_Subba.jpg
India's LGBT struggle,['Parmesh Shahani'],http://www.inktalks.com/discover/756/parmesh-shahani-india-s-lgbt-struggle,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INKWomen2014_Parmesh_Shahani.jpg
Lessons from microfinance for venture capital,['Anjney Midha'],http://www.inktalks.com/discover/755/anjney-midha-lessons-from-microfinance-for-venture-capital,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Anjney_Midha.jpg
Age is no barrier to innovate,['Sujay Tyle'],http://www.inktalks.com/discover/754/sujay-tyle-age-is-no-barrier-to-innovate,https://s3.amazonaws.com/VideoThumbnails/INK2012talks/Sujay_Tyle_INK2012_S8T6_853x480.jpg
OJAS -- women who found spiritual union,['Vidhya Subramanian'],http://www.inktalks.com/discover/753/vidhya-subramanian-ojas-women-who-found-spiritual-union,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Vidhya_Subramanian.jpg
 My journey to re-inventing education,['Sugata Mitra'],http://www.inktalks.com/discover/752/sugata-mitra-my-journey-to-re-inventing-education,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INKwomen2015_Sugata_Mitra.jpg
Shape-changing User Interfaces,['Daniel Leithinger'],http://www.inktalks.com/discover/751/daniel-leithinger-shape-changing-user-interfaces,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Daniel_Leithinger.jpg
The RedBus journey ,['Phanindra Sama'],http://www.inktalks.com/discover/750/phanindra-sama-the-redbus-journey,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Phanindra_Sama.jpg
Our AI future,['Neil Jacobstein'],http://www.inktalks.com/discover/749/neil-jacobstein-our-ai-future,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Neil_Jacobstein.jpg
Empowering women at the grassroots,['Shravani Hagargi'],http://www.inktalks.com/discover/748/shravani-hagargi-empowering-women-at-the-grassroots,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Shravani_Hagargi.jpg
Crowd-sourcing lyrics at INK2014,['Kenneth Sebastian'],http://www.inktalks.com/discover/747/kenneth-sebastian-crowd-sourcing-lyrics-at-ink2014,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Kenneth_Sebastian.jpg
Healthcare re-imagined,['Daniel Kraft'],http://www.inktalks.com/discover/746/daniel-kraft-healthcare-re-imagined,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Daniel_Kraft.jpg
Beethoven meets Bollywood,['Viswa Subbaraman'],http://www.inktalks.com/discover/745/viswa-subbaraman-beethoven-meets-bollywood,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Viswa_Subbaraman.jpg
Rhythm jam,['Bickram Ghosh'],http://www.inktalks.com/discover/744/bickram-ghosh-rhythm-jam,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Bickram_Ghosh.jpg
Music of the seals,['Henry Kaiser'],http://www.inktalks.com/discover/741/henry-kaiser-music-of-the-seals,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Henry_Kaiser.jpg
Getting kids excited about electronics,['Shashwat  Ratan'],http://www.inktalks.com/discover/743/shashwat-ratan-getting-kids-excited-about-electronics,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Shashwat_Ratan.jpg
The future of manufacturing,['Jordan Brandt'],http://www.inktalks.com/discover/742/jordan-brandt-the-future-of-manufacturing,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Jordan_Brandt.jpg
The PaperBoat story,['Neeraj Kakkar'],http://www.inktalks.com/discover/739/neeraj-kakkar-the-paperboat-story,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Neeraj_Kakkar.jpg
A taste of inner peace,['Ani Choying Drolma'],http://www.inktalks.com/discover/740/ani-choying-drolma-a-taste-of-inner-peace,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Ani_Choying_Drolma.jpg
Big data for social impact,['Deb Roy'],http://www.inktalks.com/discover/737/deb-roy-big-data-for-social-impact,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Deb_Roy.jpg
 A wilderness beyond compare,['Steve Boyes'],http://www.inktalks.com/discover/736/steve-boyes-a-wilderness-beyond-compare,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Steve_Boyes.jpg
 Making entrepreneurial dreams possible ,['Vani Kola'],http://www.inktalks.com/discover/735/vani-kola-making-entrepreneurial-dreams-possible,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Vani_Kola.jpg
Your values will take you places,['Zia Mody'],http://www.inktalks.com/discover/734/zia-mody-your-values-will-take-you-places,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Zia_Mody.jpg
Being a woman,['Gazal Dhaliwal'],http://www.inktalks.com/discover/733/gazal-dhaliwal-being-a-woman,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INKwomen2015_Gazal_Dhaliwal.jpg
Pakistan’s untold stories,['Sharmeen Obaid Chinoy'],http://www.inktalks.com/discover/732/sharmeen-obaid-chinoy-pakistans-untold-stories,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Sharmeen_Obaid-Chinoy.jpg
Spirit of Mumbai,['Abhijit Jejurikar &  Dharavi Rocks'],http://www.inktalks.com/discover/730/abhijit-jejurikar-dharavi-rocks-spirit-of-mumbai,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Dharavi_Rocks.jpg
Listening to the dancing heart,['Ramesh Rao'],http://www.inktalks.com/discover/729/ramesh-rao-listening-to-the-dancing-heart,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Ramesh_Rao.jpg
Seduced by the film industry,['Anupama Chopra'],http://www.inktalks.com/discover/728/anupama-chopra-seduced-by-the-film-industry,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Anupama_Chopra.jpg
The invisible disaster,['Anshu Gupta'],http://www.inktalks.com/discover/724/anshu-gupta-the-invisible-disaster,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Anshu_Gutpa.jpg
Curating the Kochi-Muziris Biennale,['Jitish Kallat'],http://www.inktalks.com/discover/726/jitish-kallat-curating-the-kochi-muziris-biennale,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Jitish_Kallat.jpg
Cutting-edge architecture,['Mark Foster Gage'],http://www.inktalks.com/discover/725/mark-foster-gage-cutting-edge-architecture,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Mark_Foster_Gage.jpg
What's on your plate?,['Nameet MVS'],http://www.inktalks.com/discover/723/nameet-mvs-whats-on-your-plate,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Nameet_MVS.jpg
Making Bali plastic free,['Melati & Isabel Wijsen'],http://www.inktalks.com/discover/722/isabel-melati-wijsen-making-bali-plastic-free,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Isabel_Melati_Wijsen.jpg
Guitar in a sari,['Usha Uthup'],http://www.inktalks.com/discover/721/guitar-in-a-sari,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Usha_Uthup.jpg
Movies with a message,['Rajkumar Hirani'],http://www.inktalks.com/discover/720/movies-with-a-message,https://s3.amazonaws.com/VideoThumbnails/INK2014talks/INK2014_Rajkumar_Hirani.jpg
